# {"time_iso8601_last_update_rki": "2021-03-15T17:00:00+0000", "time_iso8601_last_update_rl": "2021-03-16T20:00:00+0000"}
ags,county_name,state,population,rl_cases_total,rl_cases_7di,rl_deaths_total,rki_cases_total,rki_cases_7di,rki_deaths_total
7319,SK Worms,Rheinland-Pfalz,83542,2652,50.27,80,2647,52.67,80
7320,SK Zweibrücken,Rheinland-Pfalz,34193,505,52.64,3,501,49.72,3
7331,LK Alzey-Worms,Rheinland-Pfalz,129687,3445,31.61,109,3441,33.16,109
7332,LK Bad Dürkheim,Rheinland-Pfalz,132671,3259,66.33,137,3229,56.53,137
7333,LK Donnersbergkreis,Rheinland-Pfalz,75325,1672,62.40,54,1663,49.12,53
7334,LK Germersheim,Rheinland-Pfalz,129013,3861,101.54,107,3835,96.11,106
7335,LK Kaiserslautern,Rheinland-Pfalz,105979,2894,24.53,62,2778,14.15,61
7336,LK Kusel,Rheinland-Pfalz,70219,1620,24.21,59,1619,24.21,59
7337,LK Südliche Weinstraße,Rheinland-Pfalz,110521,2585,50.67,108,2579,44.34,105
7338,LK Rhein-Pfalz-Kreis,Rheinland-Pfalz,154609,4868,97.67,206,4852,92.49,206
7339,LK Mainz-Bingen,Rheinland-Pfalz,211417,5319,43.04,191,5306,42.10,191
7340,LK Südwestpfalz,Rheinland-Pfalz,94831,1871,112.83,67,1867,100.18,68
8111,SK Stuttgart,Baden-Württemberg,635911,19702,61.80,355,19502,57.08,355
8115,LK Böblingen,Baden-Württemberg,392807,11689,60.33,229,11686,51.17,243
8116,LK Esslingen,Baden-Württemberg,535024,17754,106.35,425,17518,102.80,459
8117,LK Göppingen,Baden-Württemberg,258145,7763,105.75,159,7767,111.57,158
8118,LK Ludwigsburg,Baden-Württemberg,545423,17813,71.87,420,17727,60.69,421
8119,LK Rems-Murr-Kreis,Baden-Württemberg,427248,13269,54.07,308,13209,45.17,307
8121,SK Heilbronn,Baden-Württemberg,126592,5826,63.20,118,5817,62.41,118
8125,LK Heilbronn,Baden-Württemberg,344456,10335,79.84,184,10264,79.26,184
8126,LK Hohenlohekreis,Baden-Württemberg,112655,3396,102.97,107,3395,105.63,107
